,Year,Irrigated area: Total,Irrigated area: Rice,Irrigated area: Wheat,Irrigated area: Maize,Irrigated area: Vegetables and fruits,Irrigated area: Others,Industrial gross value added (GVA): Total,Industrial gross value added (GVA): Textile,Industrial gross value added (GVA): Papermaking,Industrial gross value added (GVA): Petrochemicals,Industrial gross value added (GVA): Metallurgy,Industrial gross value added (GVA): Mining,Industrial gross value added (GVA): Food,Industrial gross value added (GVA): Cements,Industrial gross value added (GVA): Machinery,Industrial gross value added (GVA): Electronics,Industrial gross value added (GVA): Thermal electrivity,Industrial gross value added (GVA): Others,Urban population,Service GVA,Rural population,Livestock population,Total water use,Basin,Index
3,1968,1311.9607636667656,23.03313414996464,162.91405349330543,233.86459641237218,27.756969782462146,864.3920098286615,9.73686769783397,2.880497004327217,0.5433016110937651,0.5165368990934236,0.7391328960413109,1.3052401656710781,0.407683780396926,0.28978854504819546,0.19003353826229588,0.10894340842021959,0.09836755136326875,2.6573422981162684,25.10202910727105,4.0048488522272345,56.9298985131976,4443.047500919199,12.019959039906624,songhuajiang,7
4,1969,1380.2771930188565,30.104258447822033,176.66237799423584,241.4769683577598,32.54737620331164,899.4862120157273,12.218062526936022,2.9796302993747323,0.566562200389199,0.5649430417587087,0.7911973441973544,1.5213059331361873,0.4752440096813164,0.32319015865239525,0.21765351112564027,0.12010329920869633,0.11170817274903792,4.546524556662751,25.621328796663636,4.661718774287308,56.48060536246374,4602.758953426719,12.957530268226506,songhuajiang,7
5,1970,1593.1584781751249,37.24878341927923,223.03420120233892,296.1293012241725,37.72883541598662,999.0173569133476,17.165512035246778,3.43313442638547,0.6893258735078227,0.737412390463837,0.975089614990242,1.9519225973169039,0.6224737221081423,0.4083403174824132,0.29556488876543174,0.15117186656401974,0.15001800974133483,7.751058327921159,26.15444321939736,5.1963962093203175,56.03449112786772,4759.041781604303,15.037941273442902,songhuajiang,7
6,1971,1518.7300392379636,35.70594016655427,184.44669691252682,333.1003657091107,33.96074008541842,931.5162963643535,17.643489196264596,3.5396648346376254,0.7357437010852532,0.8510435207584238,1.0845506490299424,2.246899808722203,0.7272924547160025,0.46008326560121665,0.3513183991865411,0.169053075592449,0.17782572565871338,7.300013761276224,26.701873346729187,5.9543579088453455,55.591555809409634,4943.63503105262,14.747336993652242,songhuajiang,7
7,1972,1455.7490509283489,32.44916788570414,197.32885330500406,316.73798996676965,32.81971010314626,876.4133296677248,17.19793873065178,3.3186874957387382,0.7228827213226049,0.9058299056142386,1.1046487934296365,2.340763083813029,0.7751657850252547,0.4733984860427481,0.38586279111420113,0.1729678340712306,0.19471083934608371,6.803020995134016,27.264147270967573,6.027752482696458,55.151799407080574,5147.208838592283,14.317796408283485,songhuajiang,7
8,1973,1521.2053965029932,30.20941740746149,206.06061141753577,338.54681135493007,39.50788147762045,906.880674845445,16.340925291066483,2.9606851855461227,0.6782543781681926,0.9217047317215881,1.0747019568439695,2.3139516106870897,0.7865847270985598,0.4641964576936151,0.4055449576618607,0.16876246467210468,0.20387470615344394,6.362664114819932,27.841822352126083,5.938168115042691,54.71522192087273,5364.871355062647,15.156252866741427,songhuajiang,7
9,1974,1663.5330182473513,38.040488974669756,213.1045623848625,425.09557299783944,43.62066887957967,943.6717250104,16.215511490660155,2.808586467862816,0.6814153110371478,1.0043834568746866,1.1201223781735299,2.4157187808107388,0.851453871403968,0.4856892430678944,0.45806347577193457,0.1757445444329901,0.22971966056693746,5.984614300657514,28.43548757830061,6.603533846777139,54.28182335081528,5579.586505954812,15.915061016919987,songhuajiang,7
10,1975,1748.050220471762,49.96032998319185,227.05666888299476,453.6009952744301,50.70318430331133,966.729042027834,16.661448339657323,2.572688105117753,0.6592729225370773,1.0655859937962122,1.1384795745306495,2.4359829029303484,0.8840126889962274,0.49092284439368006,0.5005937641450444,0.17730283190875346,0.2483345523292454,6.48827215897233,29.04576616325607,5.6766656819952885,53.85160369688805,5793.942154847754,17.230851888306542,songhuajiang,7
11,1976,1904.4325355770338,61.67731601148516,268.17773560841226,518.4309667910753,54.77023535203293,1001.3762818140278,17.86309692641763,2.706856530661646,0.7123715207965153,1.2376044988987265,1.2844141532031783,2.85830749832267,1.0508728881043305,0.5616342190334045,0.5992804313296255,0.2011543491789583,0.2980012640397446,6.352599572848826,29.673318407386432,8.474753714773867,53.42456295909193,6030.895189203751,17.30534196002033,songhuajiang,7
12,1977,1925.7068825026568,60.399072014380316,278.52205003661226,514.3260081092258,61.24324007854739,1011.2165122638908,18.76878807935918,2.6993882250923846,0.7555349922608329,1.4353388821866147,1.4235867796686408,3.1141091850585965,1.1881887190691967,0.6195669414570921,0.721530849070512,0.22178731523717124,0.35270027535923726,6.237055914898898,30.31884485119483,9.12623373863457,53.00070113743556,6275.527521903038,18.165234168968567,songhuajiang,7
